algorithm_name,n,found_solution,time,explored_nodes
BT,8,True,3.416900017327862e-05,23
BT,8,True,1.660900034039514e-05,11
BT,8,True,5.888899977435358e-05,38
BT,8,True,2.0569999833242036e-05,13
BT,8,True,1.1219999578315765e-05,9
BT,8,True,2.0309999854362104e-05,11
BT,8,True,6.416899941541487e-05,37
FC,8,True,9.976799992728047e-05,20
FC,8,True,3.4668999433051795e-05,9
FC,8,True,3.664900032163132e-05,10
FC,8,True,3.803900017373962e-05,12
FC,8,True,3.0408999919018243e-05,9
FC,8,True,3.85389994335128e-05,10
FC,8,True,6.0338999901432544e-05,16
FC,8,True,4.528899989963975e-05,11
FC,8,True,0.00012268699993001064,30
FC,8,True,4.9699000555847306e-05,14
FC,8,True,9.994799984269775e-05,27
FC,8,True,6.572799975401722e-05,19
FC,8,True,3.3569000152056105e-05,9
FC,8,True,9.359799969388405e-05,23
FC,8,True,3.1089000003703404e-05,9
FC,8,True,3.479000042716507e-05,10
FC,8,True,0.00011901700054295361,30
FC,8,True,8.997800068755168e-05,25
FC,8,True,3.1938999200065155e-05,9
FC,8,True,8.673799948155647e-05,25
FC,8,True,6.77680000080727e-05,19
FC,8,True,5.754899939347524e-05,15
FC,8,True,4.779899973073043e-05,12
FC,8,True,9.299800058215624e-05,24
FC,8,True,4.168899977230467e-05,12
FC,8,True,5.111799964652164e-05,13
FC,8,True,0.00011318799988657702,27
FC,8,True,7.882799945946317e-05,22
FC,8,True,4.880900087300688e-05,15
FC,8,True,3.6528999771689996e-05,11
BT,10,True,4.222900042805122e-05,21
BT,10,True,0.00025135400028375443,130
BT,10,True,0.00011465799980214797,61
BT,10,True,0.0003649620002761367,186
BT,10,True,9.155799943982856e-05,49
BT,10,True,6.967799981794087e-05,37
BT,10,True,2.1920000108366366e-05,14
BT,10,True,3.693000053317519e-05,22
BT,10,True,1.9639999663922936e-05,11
BT,10,True,3.641900002548937e-05,22
BT,10,True,0.0001242969992745202,62
BT,10,True,0.0003276130000813282,169
BT,10,True,0.00017491599919594591,94
BT,10,True,1.7830000615504105e-05,11
BT,10,True,0.0001048379999701865,56
BT,10,True,4.5279000005393755e-05,26
BT,10,True,0.00010791800013976172,54
BT,10,True,0.0002505350003048079,129
BT,10,True,0.0003990519999206299,204
BT,10,True,5.322800006979378e-05,30
BT,10,True,8.74679999469663e-05,46
BT,10,True,0.00015954700029396918,15
BT,10,True,0.0003854810001939768,196
BT,10,True,1.691899979050504e-05,11
BT,10,True,2.220900023530703e-05,14
BT,10,True,7.77690001996234e-05,42
BT,10,True,1.866899947344791e-05,12
BT,10,True,1.6089999917312525e-05,11
BT,10,True,1.8089000150212087e-05,11
BT,10,True,4.273899958207039e-05,25
FC,10,True,0.00041454099937254796,87
FC,10,True,0.0003204829999958747,70
FC,10,True,5.558900011237711e-05,13
FC,10,True,5.516900000657188e-05,13
FC,10,True,9.611800032871542e-05,21
FC,10,True,0.00018381599966232898,41
FC,10,True,0.00016034700001910096,34
FC,10,True,5.7269000535598025e-05,14
FC,10,True,6.106899945734767e-05,15
FC,10,True,0.00017258600018976722,40
FC,10,True,5.5588999202882405e-05,14
FC,10,True,0.00013241699980426347,31
FC,10,True,0.00020722600038425298,46
FC,10,True,7.859899960749317e-05,18
FC,10,True,5.195900030230405e-05,13
FC,10,True,0.0001154669998868485,29
FC,10,True,0.00022214500040718121,53
FC,10,True,0.00010292800016031833,25
FC,10,True,7.006799933151342e-05,16
FC,10,True,6.92489993525669e-05,15
FC,10,True,5.394899926614016e-05,14
FC,10,True,0.00010800800009747036,26
FC,10,True,6.646800011367304e-05,15
FC,10,True,0.00012153800071246224,29
FC,10,True,0.00011323699982312974,26
FC,10,True,4.5589000364998356e-05,11
FC,10,True,0.0002803639999910956,69
FC,10,True,0.0005453280000438099,119
FC,10,True,9.434799994778587e-05,21
FC,10,True,9.229799979948439e-05,22
