algorithm_name,env_n,size,best_solution,H,states,time
SA,16,8,"[6, 2, 7, 5, 0, 5, 1, 4]",1,446,0.0016487769999002921
SA,17,8,"[1, 4, 7, 3, 0, 2, 5, 6]",1,446,0.0013099329999022302
SA,18,8,"[7, 0, 4, 6, 1, 5, 2, 5]",1,446,0.001582718000463501
SA,19,8,"[1, 7, 5, 3, 6, 0, 2, 4]",1,446,0.00127395500021521
SA,20,8,"[2, 7, 3, 0, 5, 1, 4, 6]",1,446,0.0013282529998832615
SA,21,8,"[2, 5, 1, 4, 7, 0, 3, 7]",1,446,0.001730064999719616
SA,22,8,"[2, 4, 7, 3, 0, 6, 1, 5]",0,231,0.0006700169997202465
SA,23,8,"[5, 7, 6, 0, 3, 1, 4, 2]",1,446,0.00135974300064845
SA,24,8,"[4, 0, 5, 5, 2, 6, 3, 7]",1,446,0.0014745799999218434
SA,25,8,"[6, 4, 7, 7, 0, 2, 5, 1]",1,446,0.0013681919999726233
SA,26,8,"[2, 4, 1, 7, 0, 6, 3, 0]",1,446,0.0013289030002852087
SA,27,8,"[1, 7, 2, 0, 6, 4, 1, 5]",1,446,0.001253135000297334
SA,28,8,"[1, 5, 7, 2, 0, 3, 6, 4]",0,188,0.000595437999436399
SA,29,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,329,0.0009467209993090364
random,0,8,"[2, 0, 5, 7, 5, 1, 6, 4]",1,50001,0.22326368799986085
random,1,8,"[2, 5, 1, 6, 4, 0, 7, 3]",0,13803,0.06172288099969592
random,2,8,"[4, 6, 0, 2, 7, 5, 3, 1]",0,2707,0.011880240999744274
random,3,8,"[2, 7, 3, 6, 0, 5, 1, 4]",0,22035,0.10342582300017966
random,4,8,"[2, 6, 1, 7, 5, 3, 0, 4]",0,12275,0.055655352999565366
random,5,8,"[6, 3, 1, 7, 5, 0, 2, 7]",1,50001,0.2250534009999683
random,6,8,"[1, 6, 2, 5, 7, 4, 0, 3]",0,33982,0.15715450599964242
random,7,8,"[6, 1, 3, 0, 7, 4, 2, 0]",1,50001,0.21547595300035027
random,8,8,"[2, 2, 6, 1, 7, 4, 0, 3]",1,50001,0.2231203290002668
random,9,8,"[2, 4, 6, 0, 3, 1, 7, 5]",0,20196,0.08808070199938811
random,10,8,"[4, 0, 3, 6, 2, 5, 1, 7]",1,50001,0.21729202799997438
random,11,8,"[4, 6, 1, 2, 5, 7, 0, 3]",1,50001,0.22915315800037206
random,12,8,"[3, 1, 7, 2, 6, 6, 0, 5]",1,50001,0.21887483499995142
random,13,8,"[4, 2, 7, 3, 6, 0, 5, 1]",0,38107,0.1686338239996985
random,14,8,"[3, 1, 4, 7, 0, 3, 5, 2]",1,50001,0.2365260099995794
random,15,8,"[6, 0, 5, 1, 5, 7, 2, 4]",1,50001,0.21767560900025273
random,16,8,"[3, 0, 4, 7, 1, 6, 2, 5]",0,32965,0.14426906400058215
random,17,8,"[2, 5, 1, 4, 0, 3, 3, 7]",1,50001,0.2247304759994222
random,18,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,3150,0.014336192999508057
random,19,8,"[1, 6, 2, 5, 7, 0, 4, 6]",1,50001,0.22833846599951357
random,20,8,"[4, 2, 0, 5, 6, 1, 3, 7]",1,50001,0.22938740300014615
random,21,8,"[5, 2, 0, 6, 4, 7, 1, 4]",1,50001,0.23015896700053418
random,22,8,"[0, 7, 3, 1, 6, 2, 5, 2]",1,50001,0.22310169999946083
random,23,8,"[5, 2, 6, 1, 7, 7, 0, 3]",1,50001,0.22511660899999697
